Scrip,Company,Symbol
500459,Procter & Gamble Hygiene & Health Care Ltd,PGHH.BO
532524,PTC India Ltd,PTC.BO
532461,Punjab National Bank,PNB.BO
532689,PVR Ltd,PVR.BO
539978,Quess Corp Ltd,QUESS.BO
532497,Radico Khaitan Ltd,RADICO.BO
500339,Rain Industries Limited,RAIN.BO
531500,Rajesh Exports Ltd,RAJESHEXPO.BO
500355,Rallis India Ltd,RALLIS.BO
500260,Ramco Cements Ltd,RAMCOCEM.BO
524230,Rashtriya Chemicals & Fertilizers Ltd.,RCF.BO
520111,Ratnamani Metals & Tubes Ltd,RATNAMANI.BO
500330,Raymond Ltd.,RAYMOND.BO
540065,RBL Bank Ltd,RBLBANK.BO
532955,REC Ltd,RECLTD.BO
532805,Redington India Ltd,REDINGTON.BO
530517,Relaxo Footwears Ltd,RELAXO.BO
500111,Reliance Capital Ltd,RELCAPITAL.BO
532712,Reliance Communications Ltd,RCOM.BO
500325,Reliance Industries Ltd,RELIANCE.BO
500390,Reliance Infrastructure Ltd,RELINFRA.BO
540767,Reliance Nippon Life Asset Management Ltd,RNAM.BO
532939,Reliance Power Ltd,RPOWER.BO
535322,Repco Home Finance Ltd.,REPCOHOME.BO
539450,S H Kelkar and Company Ltd,SHK.BO
532710,Sadbhav Engineering Ltd,SADBHAV.BO
500674,Sanofi India Ltd,SANOFI.BO
540719,SBI Life Insurance Company Ltd,SBILIFE.BO
505790,Schaeffler India Ltd,SCHAEFFLER.BO
534139,Schneider Electric Infrastructure Ltd.,SCHNEIDER.BO
540673,Security and Intelligence Services (India) Ltd,SIS.BO
540425,Shankara Building Products Ltd,SHANKARA.BO
538666,Sharda Cropchem Limited,SHARDACROP.BO
540203,Sheela Foam Ltd,SFL.BO
530549,Shilpa Medicare Ltd,SHILPAMED.BO
523598,Shipping Corp of India Ltd,SCI.BO
532638,Shoppers Stop Ltd,SHOPERSTOP.BO
500387,Shree Cement Ltd,SHREECEM.BO
532498,Shriram City Union Finance Ltd.,SHRIRAMCIT.BO
511218,Shriram Transport Finance Co Ltd,SRTRANSFIN.BO
500550,Siemens India Ltd,SIEMENS.BO
533206,SJVN Ltd,SJVN.BO
500472,SKF India Ltd,SKFINDIA.BO
532784,Sobha Limited,SOBHA.BO
532725,Solar Industries India Ltd,SOLARINDS.BO
